Label,Predictor,Number of observations,Crude p-value,FDR adjusted p-value
Standard bicarbonate,Donors prior number of donations,16763,6.3521530E-01,9.5453707E-01
Troponin T,Age of Donor,1761,6.3898814E-01,9.5453707E-01
Mean corpuscular hemoglobin concentrati,Donor born outside of Sweden,2693,6.3993222E-01,9.5453707E-01
AST,Storage time,1113,6.3877650E-01,9.5453707E-01
Reticulocyte count,Donor born outside of Sweden,37,6.3344583E-01,9.5453707E-01
Triglycerides,Time of donation,29,6.3936885E-01,9.5453707E-01
Platelet count,Time of donation,8499,6.4120341E-01,9.5453707E-01
Basophiles,Donor born outside of Sweden,112,6.4493038E-01,9.5767301E-01
Creatinine,Donor Hb,4198,6.5721863E-01,9.6236960E-01
Glucose,Donors prior number of donations,31878,6.5084509E-01,9.6236960E-01
Lactate dehydrogenase,Time of donation,431,6.8126338E-01,9.6236960E-01
Iron,Donor Hb,76,6.6488166E-01,9.6236960E-01
Calcium,Donors prior number of donations,657,6.8678688E-01,9.6236960E-01
Monocyte count,Donor born outside of Sweden,112,6.6763662E-01,9.6236960E-01
Monocyte count,Donor born outside of Sweden,112,6.6763662E-01,9.6236960E-01
ALT,Donor sex,1248,6.8558872E-01,9.6236960E-01
INR,Weekday of donation,5873,6.8366596E-01,9.6236960E-01
AST,Weekday of donation,1115,6.5368474E-01,9.6236960E-01
Carbon Dioxide,Time of donation,593,6.6646728E-01,9.6236960E-01
Methemoglobin,Age of Donor,13089,6.8407379E-01,9.6236960E-01
Methemoglobin,Age of Donor,13089,6.8407379E-01,9.6236960E-01
Methemoglobin,Age of Donor,13089,6.8407379E-01,9.6236960E-01
Methemoglobin,Age of Donor,13089,6.8407379E-01,9.6236960E-01
HbA1c,Storage time,133,6.6471445E-01,9.6236960E-01
HbA1c,Donor born outside of Sweden,134,6.9301646E-01,9.6236960E-01
Sodium,Donor sex,19448,6.7197428E-01,9.6236960E-01
Bilirubin,Age of Donor,2355,6.7514669E-01,9.6236960E-01
Bilirubin,Age of Donor,2355,6.8899032E-01,9.6236960E-01
Bilirubin,Age of Donor,2355,6.8899032E-01,9.6236960E-01
HbA1c,Donor born outside of Sweden,134,6.9301646E-01,9.6236960E-01
Creatinine,Donor sex,4258,6.5957796E-01,9.6236960E-01
Troponin T,Time since donors previous donation,1761,6.5221028E-01,9.6236960E-01
ALT,Donor sex,1248,6.8558872E-01,9.6236960E-01
Albumin,Donor born outside of Sweden,1395,6.8251922E-01,9.6236960E-01
ALT,Time since donors previous donation,1248,6.9368773E-01,9.6236960E-01
Troponin T,Donors prior number of donations,1761,6.7763381E-01,9.6236960E-01
Metamyelocyte count,Time of donation,21,6.9891943E-01,9.6570250E-01
Monocyte count,Donor born outside of Sweden,112,6.9935815E-01,9.6570250E-01
Reticulocyte count,Donors prior number of donations,37,7.2401907E-01,9.6744285E-01
Myelocyte count,Time of donation,19,7.1595258E-01,9.6744285E-01
Mean corpuscular hemoglobin concentrati,Time of donation,2683,7.5438482E-01,9.6744285E-01
Triglycerides,Donor Hb,28,7.1606246E-01,9.6744285E-01
Eosinophile count,Time since donors previous donation,112,7.2125716E-01,9.6744285E-01
Creatinine,Time of donation,4247,7.6462115E-01,9.6744285E-01
Conjugated bilirubin,Donors prior number of donations,353,7.6344932E-01,9.6744285E-01
Base Excess,Donors prior number of donations,7823,7.8727058E-01,9.6744285E-01
INR,Time of donation,5849,7.1565728E-01,9.6744285E-01
ALT,Donors prior number of donations,1248,7.1710803E-01,9.6744285E-01
Troponin T,Weekday of donation,1760,7.9248138E-01,9.6744285E-01
Methemoglobin,Donor born outside of Sweden,13096,7.8219121E-01,9.6744285E-01
Osmolality,Weekday of donation,5628,8.0047302E-01,9.6744285E-01
Osmolality,Weekday of donation,5628,8.0047302E-01,9.6744285E-01
Albumin,Donor Hb,1381,7.0652779E-01,9.6744285E-01
Osmolality,Weekday of donation,5628,8.0047302E-01,9.6744285E-01
Sodium,Weekday of donation,19450,7.7669821E-01,9.6744285E-01
Methemoglobin,Weekday of donation,13092,7.9503081E-01,9.6744285E-01
Metamyelocyte count,Weekday of donation,21,7.8624775E-01,9.6744285E-01
Mean corpuscular hemoglobin,Weekday of donation,4327,7.4699999E-01,9.6744285E-01
Leukocyte count,Weekday of donation,5703,7.4784344E-01,9.6744285E-01
Hemoglobin,Weekday of donation,32629,7.6293269E-01,9.6744285E-01
Ferritin,Weekday of donation,91,7.8115066E-01,9.6744285E-01
Glutamyl transferase,Time since donors previous donation,494,7.5651721E-01,9.6744285E-01
CRP,Time of donation,2488,7.1896873E-01,9.6744285E-01
ALT,Weekday of donation,1248,7.1669405E-01,9.6744285E-01
Methemoglobin,Age of Donor,13089,7.6301451E-01,9.6744285E-01
Methemoglobin,Age of Donor,13089,7.6301451E-01,9.6744285E-01
PaO2,Storage time,14529,7.7473595E-01,9.6744285E-01
Methemoglobin,Age of Donor,13089,7.6301451E-01,9.6744285E-01
aPTT,Time of donation,6584,7.7813641E-01,9.6744285E-01
INR,Age of Donor,5870,7.2981234E-01,9.6744285E-01
Albumin,Storage time,1393,7.9446408E-01,9.6744285E-01
Troponin T,Donor sex,1761,7.9938144E-01,9.6744285E-01
Mean corpuscular hemoglobin,Donor sex,4327,7.9081241E-01,9.6744285E-01
Base Excess,Age of Donor,7821,7.9988751E-01,9.6744285E-01
HbA1c,Donor sex,134,7.8087857E-01,9.6744285E-01
Glucose,Donor sex,31860,7.9217763E-01,9.6744285E-01
Fibrinogen,Donor sex,4112,7.3644199E-01,9.6744285E-01
Iron,Donor sex,76,7.1762130E-01,9.6744285E-01
Standard bicarbonate,Time since donors previous donation,16763,7.1273055E-01,9.6744285E-01
PaCO2,Time since donors previous donation,14559,7.1957678E-01,9.6744285E-01
Leukocyte count,Time since donors previous donation,5705,7.8425343E-01,9.6744285E-01
Lactate,Time since donors previous donation,15981,7.8378000E-01,9.6744285E-01
Potassium,Time since donors previous donation,19671,7.5332332E-01,9.6744285E-01
Glutamyl transferase,Time since donors previous donation,494,7.5651721E-01,9.6744285E-01
Reticulocyte count,Time of donation,37,7.5442172E-01,9.6744285E-01
Glutamyl transferase,Time since donors previous donation,494,7.6874635E-01,9.6744285E-01
PaO2,Time of donation,14513,7.5037542E-01,9.6744285E-01
Eosinophile count,Time since donors previous donation,112,7.9434014E-01,9.6744285E-01
Eosinophile count,Time since donors previous donation,112,7.9434014E-01,9.6744285E-01
eGFR,Time since donors previous donation,375,7.7452950E-01,9.6744285E-01
eGFR,Time since donors previous donation,375,7.7452950E-01,9.6744285E-01
Osmolality,Donor Hb,5560,7.0567866E-01,9.6744285E-01
Mean corpuscular hemoglobin concentrati,Storage time,2686,8.0221781E-01,9.6757291E-01
Sodium,Donor born outside of Sweden,19456,8.0902073E-01,9.6765731E-01
eGFR,Donors prior number of donations,375,8.1374904E-01,9.6765731E-01
ALP,Donors prior number of donations,412,8.0561237E-01,9.6765731E-01
Neutrophile count,Age of Donor,586,8.0977621E-01,9.6765731E-01
Lactate dehydrogenase,Donor born outside of Sweden,432,8.1311661E-01,9.6765731E-01
ALT,Donor sex,1248,8.0876403E-01,9.6765731E-01
Glucose,Donor born outside of Sweden,31878,8.1192495E-01,9.6765731E-01
Glutamyl transferase,Donor born outside of Sweden,494,8.1543918E-01,9.6771999E-01
Monocyte count,Time of donation,112,8.6240912E-01,9.6856438E-01
Osmolality,Donors prior number of donations,5630,8.6072821E-01,9.6856438E-01
Lymphocyte count,Donor Hb,108,8.5871500E-01,9.6856438E-01
Haptoglobin,Donors prior number of donations,75,8.5561278E-01,9.6856438E-01
Conjugated bilirubin,Donors prior number of donations,353,8.5275542E-01,9.6856438E-01
Conjugated bilirubin,Donors prior number of donations,353,8.5275542E-01,9.6856438E-01
Potassium,Time of donation,19623,8.6377170E-01,9.6856438E-01
Osmolality,Weekday of donation,5628,8.7641920E-01,9.6856438E-01
Osmolality,Weekday of donation,5628,8.7641920E-01,9.6856438E-01
Sodium,Weekday of donation,19450,8.5988175E-01,9.6856438E-01
Sodium,Weekday of donation,19450,8.5988175E-01,9.6856438E-01
Glutamyl transferase,Weekday of donation,494,8.2514159E-01,9.6856438E-01
Neutrophile count,Age of Donor,586,8.4006057E-01,9.6856438E-01
Neutrophile count,Age of Donor,586,8.4006057E-01,9.6856438E-01
Myelocyte count,Age of Donor,19,8.7842725E-01,9.6856438E-01
CRP,Donor born outside of Sweden,2494,8.6744123E-01,9.6856438E-01
Lymphocyte count,Storage time,110,8.3631893E-01,9.6856438E-01
Lactate dehydrogenase,Storage time,431,8.5959428E-01,9.6856438E-01
Leukocyte count,Age of Donor,5704,8.4102198E-01,9.6856438E-01
Creatinine,Age of Donor,4258,8.2903208E-01,9.6856438E-01
AST,Time of donation,1113,8.1960388E-01,9.6856438E-01
Ferritin,Storage time,91,8.2243292E-01,9.6856438E-01
Free Calcium,Storage time,16733,8.2734438E-01,9.6856438E-01
Haptoglobin,Age of Donor,75,8.4952290E-01,9.6856438E-01
Bilirubin,Donor born outside of Sweden,2355,8.7292144E-01,9.6856438E-01
Neutrophile count,Donor sex,586,8.2849684E-01,9.6856438E-01
Creatinine,Donor sex,4258,8.7511381E-01,9.6856438E-01
Creatinine,Donor sex,4258,8.7511381E-01,9.6856438E-01
aPTT,Age of Donor,6606,8.7760262E-01,9.6856438E-01
Troponin I,Time since donors previous donation,312,8.4577061E-01,9.6856438E-01
Myelocyte count,Time since donors previous donation,19,8.4755090E-01,9.6856438E-01
Myelocyte count,Time since donors previous donation,19,8.4433224E-01,9.6856438E-01
Myelocyte count,Time since donors previous donation,19,8.4433224E-01,9.6856438E-01
Troponin T,Donor Hb,1746,8.5398355E-01,9.6856438E-01
Ferritin,Time since donors previous donation,91,8.7299636E-01,9.6856438E-01
Bilirubin,Time since donors previous donation,2355,8.7051256E-01,9.6856438E-01
Basophiles,Time since donors previous donation,112,8.5551693E-01,9.6856438E-01
Lactate dehydrogenase,Age of Donor,432,8.8353178E-01,9.7237855E-01
Fibrinogen,Donor Hb,4068,8.8619004E-01,9.7308928E-01
Free Calcium,Weekday of donation,16750,8.8747059E-01,9.7308928E-01
Platelet count,Donor Hb,8421,8.9412271E-01,9.7856764E-01
Sodium,Time of donation,19408,9.0277343E-01,9.8207286E-01
eGFR,Donor sex,375,9.0397231E-01,9.8207286E-01
Sodium,Donor Hb,19248,9.0301737E-01,9.8207286E-01
Albumin,Time since donors previous donation,1395,9.0045177E-01,9.8207286E-01
Erythrocyte count,Donors prior number of donations,4297,9.0616508E-01,9.8264874E-01
Metamyelocyte count,Donors prior number of donations,21,9.1707104E-01,9.8273201E-01
Lactate,Donors prior number of donations,15981,9.2264440E-01,9.8273201E-01
aPTT,Donors prior number of donations,6609,9.4026736E-01,9.8273201E-01
Transferrin,Weekday of donation,12,9.3247879E-01,9.8273201E-01
Mean corpuscular volume,Weekday of donation,4305,9.4049243E-01,9.8273201E-01
Mean corpuscular hemoglobin concentrati,Weekday of donation,2692,9.1913934E-01,9.8273201E-01
Lactate,Weekday of donation,15976,9.4526808E-01,9.8273201E-01
NT-ProBNP,Age of Donor,66,9.5203725E-01,9.8273201E-01
Chloride,Weekday of donation,16535,9.2207110E-01,9.8273201E-01
Sodium,Age of Donor,19447,9.5191012E-01,9.8273201E-01
Leukocyte count,Donor born outside of Sweden,5705,9.5280109E-01,9.8273201E-01
Methemoglobin,Storage time,13088,9.4158583E-01,9.8273201E-01
CO-Hb,Donor born outside of Sweden,12145,9.3861691E-01,9.8273201E-01
Iron,Storage time,76,9.2686514E-01,9.8273201E-01
Carbon Dioxide,Donor born outside of Sweden,593,9.4881329E-01,9.8273201E-01
Platelet count,Donor sex,8521,9.3187755E-01,9.8273201E-01
Platelet count,Donor sex,8521,9.3187755E-01,9.8273201E-01
aPTT,Donor born outside of Sweden,6609,9.5138424E-01,9.8273201E-01
HbA1c,Donor born outside of Sweden,134,9.5014639E-01,9.8273201E-01
Basophiles,Age of Donor,112,9.4577693E-01,9.8273201E-01
Osmolality,Time since donors previous donation,5630,9.2536007E-01,9.8273201E-01
Glucose,Donor born outside of Sweden,31878,9.1585303E-01,9.8273201E-01
aPTT,Donor sex,6606,9.1774327E-01,9.8273201E-01
Glucose,Donor born outside of Sweden,31878,9.1585303E-01,9.8273201E-01
PaCO2,Time of donation,14525,9.3332877E-01,9.8273201E-01
PaCO2,Time of donation,14525,9.4166365E-01,9.8273201E-01
Reticulocyte count,Donor Hb,36,9.3503132E-01,9.8273201E-01
PaCO2,Time of donation,14525,9.4166365E-01,9.8273201E-01
Lactate,Time of donation,15944,9.6741140E-01,9.8288666E-01
Conjugated bilirubin,Storage time,352,9.6644388E-01,9.8288666E-01
Carbon Dioxide,Donor born outside of Sweden,593,9.6075186E-01,9.8288666E-01
ALT,Storage time,1246,9.6791885E-01,9.8288666E-01
Carbon Dioxide,Donor born outside of Sweden,593,9.6075186E-01,9.8288666E-01
Monocyte count,Time since donors previous donation,112,9.5906826E-01,9.8288666E-01
eGFR,Time since donors previous donation,375,9.6592673E-01,9.8288666E-01
eGFR,Time since donors previous donation,375,9.6592673E-01,9.8288666E-01
eGFR,Time since donors previous donation,375,9.6592673E-01,9.8288666E-01
Haptoglobin,Storage time,75,9.7067429E-01,9.8399401E-01
Leukocyte count,Donors prior number of donations,5705,9.7588088E-01,9.8561916E-01
AST,Donor Hb,1099,9.7613888E-01,9.8561916E-01
Lactate dehydrogenase,Weekday of donation,432,9.7894830E-01,9.8561916E-01
Lactate dehydrogenase,Weekday of donation,432,9.7894830E-01,9.8561916E-01
Iron,Donor born outside of Sweden,76,9.8618805E-01,9.8785955E-01
Standard bicarbonate,Weekday of donation,16758,9.8302099E-01,9.8785955E-01
Lactate dehydrogenase,Weekday of donation,432,9.8557016E-01,9.8785955E-01
Chloride,Age of Donor,16532,9.9222355E-01,9.9222355E-01
